RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-02 06:56:15,1990-01-01 02:00:00,1990-01-01 20:56:15,1113.98630042,1792.79075424,1135.38850962,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 405 - 405 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-02 04:02:33,1990-01-01 02:00:00,1990-01-01 18:02:33,931.20202372,1498.62738692,964.25612441,,,,,405,1,1075,El Arish,146.0048,-17.80559,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 399 - 399 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-02 05:25:17.000001,1990-01-01 02:00:00,1990-01-01 19:25:17,1001.46243935,1611.7007914,1045.78761555,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 203 - 203 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 12:25:07.000001,1990-01-01 02:00:00,1990-01-01 02:25:07,21.76857499,35.03319561,25.11491185,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 140 - 140 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 19:16:38,1990-01-01 02:00:00,1990-01-01 09:16:38,407.88807029,656.43353145,438.14988072,,,,,140,1,1254,Injune,148.5651,-25.84311,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 139 - 139 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 21:10:13,1990-01-01 02:00:00,1990-01-01 11:10:13,518.73580416,834.82602366,550.27503201,,,,,139,1,1253,Augathella,146.5842,-25.79596,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 34 - 34 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 14:19:50,1990-01-01 02:00:00,1990-01-01 04:19:50,127.64372142,205.42306804,139.07823649,,,,,34,1,1367,Withcott,152.026,-27.55364,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 45 - 45 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 14:43:25,1990-01-01 02:00:00,1990-01-01 04:43:25,139.77520496,224.94683735,162.23058707,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 52 - 52 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 14:46:57,1990-01-01 02:00:00,1990-01-01 04:46:57,142.66998792,229.60554825,165.6445385,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 322 - 322 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 15:16:06,1990-01-01 02:00:00,1990-01-01 05:16:06,181.78129646,292.54922386,196.41638158,,,,,322,1,1214,Oakwood,152.298,-24.85082,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 221 - 221 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-02 00:56:19.000001,1990-01-01 02:00:00,1990-01-01 14:56:19,748.03535095,1203.84861154,777.830968,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 184 - 184 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 12:21:39,1990-01-01 02:00:00,1990-01-01 02:21:39,15.58437863,25.08067641,21.69074734,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 96 - 96 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 16:06:08,1990-01-01 02:00:00,1990-01-01 06:06:08,220.61702938,355.04940263,244.04922734,,,,,96,1,1429,Inglewood,151.0795,-28.41751,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 89 - 89 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 21:31:56.000001,1990-01-01 02:00:00,1990-01-01 11:31:56,556.26710314,895.22691529,572.28474856,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 81 - 81 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 13:53:02,1990-01-01 02:00:00,1990-01-01 03:53:02,101.06290179,162.64529991,112.76898151,,,,,81,1,1414,Beaudesert,152.9992,-27.98632,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 78 - 78 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 13:57:37,1990-01-01 02:00:00,1990-01-01 03:57:37.000001,106.38695112,171.2135439,117.30562973,,,,,78,1,1411,Mount Tamborine,153.2014,-27.97114,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 8 - 8 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 13:06:27,1990-01-01 02:00:00,1990-01-01 03:06:27,58.0748583,93.46261168,66.50753092,,,,,8,1,1341,Samford,152.8849,-27.37146,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 27 - 27 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 13:53:27,1990-01-01 02:00:00,1990-01-01 03:53:27,100.40417024,161.58517212,113.14918516,,,,,27,1,1360,Brightview,152.4916,-27.51975,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 360 - 360 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-02 07:01:42,1990-01-01 02:00:00,1990-01-01 21:01:42,1074.07663355,1728.56224287,1141.0154839,,,,,360,1,1030,Daintree,145.3306,-16.26079,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 324 - 324 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 15:11:26,1990-01-01 02:00:00,1990-01-01 05:11:26.000001,177.43785546,285.55911917,191.70226815,,,,,324,1,1216,Bundaberg,152.3444,-24.87052,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 311 - 311 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 19:26:06,1990-01-01 02:00:00,1990-01-01 09:26:06,412.48125819,663.82556563,446.21643755,,,,,311,1,1203,Taylors Creek,149.1545,-24.25325,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 250 - 250 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 21:51:27,1990-01-01 02:00:00,1990-01-01 11:51:27,562.28820986,904.91696665,592.12742228,,,,,250,1,1142,Nindaroo,149.1636,-21.05945,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 126 - 126 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 15:35:09,1990-01-01 02:00:00,1990-01-01 05:35:09,199.4303902,320.95274379,215.61584623,,,,,126,1,1240,Eidsvold,151.1221,-25.37064,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 1 - 1 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 13:00:10.000001,1990-01-01 02:00:00,1990-01-01 03:00:10,51.42580812,82.76198126,60.23953084,,,,,1,1,1334,Dayboro,152.8215,-27.19792,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 18 - 18 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 14:23:40,1990-01-01 02:00:00,1990-01-01 04:23:40,130.14926666,209.45536031,142.81056993,,,,,18,1,1351,Murphys Creek,152.0567,-27.46123,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 312 - 312 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 16:13:25,1990-01-01 02:00:00,1990-01-01 06:13:25,240.41510107,386.91137424,253.92786748,,,,,312,1,1204,Miriam Vale,151.5583,-24.328,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 258 - 258 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 21:33:14.000001,1990-01-01 02:00:00,1990-01-01 11:33:14,548.88913709,883.35320614,573.69015028,,,,,258,1,1150,Bakers Creek,149.1521,-21.20776,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 214 - 214 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 12:44:20,1990-01-01 02:00:00,1990-01-01 02:44:20.000001,37.78920566,60.81595302,44.35734531,,,,,214,1,1328,Sandstone Point,153.1273,-27.08295,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
